Temporada,Fecha,EquipoLocal,GolesFavL5,GolesConL5,PuntosL5,PosicionLocal,GolesFav1L5,GolesCont1L5,EquipoVisitante, GolesFavV5,GolesConV5,PuntosV5,PosicionVisitante,GolesFav1V5,GolesCon1V5,Ganador,Goles Local,Goles Local primera parte,Goles Visitante,Goles Visitante primera parte
2020-21,2020-11-28,Real Madrid,9,8,7,4,5.0,4.0,Alaves,6,6,6,16,4.0,1.0,A,1.0,0.0,2.0,1.0
2020-21,2020-11-29,Barcelona,7,8,4,15,2.0,4.0,Osasuna,3,5,5,14,0.0,2.0,H,4.0,2.0,0.0,0.0
2020-21,2020-11-29,Getafe,4,6,5,13,1.0,4.0,Ath Bilbao,9,4,9,10,2.0,2.0,D,1.0,0.0,1.0,1.0
2020-21,2020-11-29,Celta,5,12,2,19,3.0,6.0,Granada,4,6,7,7,2.0,4.0,H,3.0,1.0,1.0,1.0
2020-21,2020-11-29,Sociedad,14,2,15,1,6.0,0.0,Villarreal,8,3,11,3,5.0,3.0,D,1.0,1.0,1.0,1.0
2020-21,2020-11-30,Betis,5,15,3,13,3.0,4.0,Eibar,2,3,6,16,2.0,2.0,A,0.0,0.0,2.0,0.0
2020-21,2020-12-04,Ath Bilbao,8,5,7,10,3.0,2.0,Celta,8,11,5,17,4.0,6.0,A,0.0,0.0,2.0,0.0
2020-21,2020-12-05,Levante,5,5,5,19,2.0,2.0,Getafe,4,7,3,13,1.0,5.0,H,3.0,2.0,0.0,0.0
2020-21,2020-12-05,Sevilla,7,5,9,5,3.0,3.0,Real Madrid,10,9,7,4,5.0,4.0,A,0.0,0.0,1.0,0.0
2020-21,2020-12-05,Ath Madrid,11,1,15,2,4.0,0.0,Valladolid,6,7,7,18,2.0,2.0,H,2.0,0.0,0.0,0.0
2020-21,2020-12-05,Cadiz,3,6,5,6,2.0,3.0,Barcelona,11,7,7,8,4.0,4.0,H,2.0,1.0,1.0,0.0
2020-21,2020-12-06,Granada,4,9,4,7,3.0,5.0,Huesca,4,11,2,20,1.0,4.0,D,3.0,1.0,3.0,1.0
2020-21,2020-12-06,Osasuna,3,9,4,17,0.0,4.0,Betis,5,14,3,15,3.0,3.0,A,0.0,0.0,2.0,0.0
2020-21,2020-12-06,Villarreal,7,3,9,3,5.0,3.0,Elche,6,7,6,14,4.0,4.0,D,0.0,0.0,0.0,0.0
2020-21,2020-12-06,Alaves,8,5,9,12,5.0,0.0,Sociedad,12,3,13,2,6.0,1.0,D,0.0,0.0,0.0,0.0
2020-21,2020-12-07,Eibar,4,3,8,12,2.0,2.0,Valencia,9,8,5,16,3.0,5.0,D,0.0,0.0,0.0,0.0
2020-21,2020-12-11,Valladolid,6,7,7,19,2.0,2.0,Osasuna,2,11,1,17,0.0,4.0,H,3.0,1.0,2.0,2.0
2020-21,2020-12-12,Valencia,8,6,6,16,3.0,3.0,Ath Bilbao,8,6,7,14,3.0,2.0,D,2.0,1.0,2.0,0.0
2020-21,2020-12-12,Getafe,4,9,3,17,1.0,6.0,Sevilla,7,5,9,6,3.0,2.0,A,0.0,0.0,1.0,0.0
2020-21,2020-12-12,Huesca,6,10,3,20,2.0,4.0,Alaves,6,5,7,10,5.0,0.0,H,1.0,0.0,0.0,0.0
2020-21,2020-12-12,Real Madrid,8,8,7,4,4.0,3.0,Ath Madrid,11,1,15,1,4.0,0.0,H,2.0,1.0,0.0,0.0
2020-21,2020-12-13,Sociedad,8,2,11,2,5.0,1.0,Eibar,3,3,6,9,1.0,2.0,D,1.0,1.0,1.0,0.0
2020-21,2020-12-13,Betis,7,12,6,8,3.0,3.0,Villarreal,7,3,9,4,5.0,3.0,D,1.0,0.0,1.0,1.0
2020-21,2020-12-13,Elche,4,6,4,13,2.0,4.0,Granada,6,12,2,7,3.0,6.0,A,0.0,0.0,1.0,1.0
2020-21,2020-12-13,Barcelona,11,6,7,14,3.0,4.0,Levante,7,4,7,20,4.0,2.0,H,1.0,0.0,0.0,0.0
2020-21,2020-12-14,Celta,9,10,7,15,4.0,6.0,Cadiz,5,7,7,7,3.0,3.0,H,4.0,4.0,0.0,0.0
2020-21,2020-12-15,Real Madrid,6,7,7,3,3.0,3.0,Ath Bilbao,8,7,5,12,3.0,2.0,H,3.0,1.0,1.0,0.0
2020-21,2020-12-16,Barcelona,11,5,9,8,3.0,3.0,Sociedad,5,2,9,1,4.0,1.0,H,2.0,2.0,1.0,1.0
2020-21,2020-12-18,Ath Bilbao,8,8,5,12,3.0,2.0,Huesca,6,6,6,19,2.0,2.0,H,2.0,0.0,0.0,0.0
